word,review_html,content_url
weather,https://www.codecademy.com/review-cards/5cd44aeb370902601c980aad,https://www.codecademy.com/paths/analyze-data-with-r/tracks/working-with-data-in-r-skill-path/modules/learn-r-data-frames/lessons/r-data-frames-intro
filter,https://www.codecademy.com/review-cards/5cd439873709026035980efd,https://www.codecademy.com/paths/analyze-data-with-r/tracks/working-with-data-in-r-skill-path/modules/learn-r-data-frames/lessons/r-data-frames-intro
comma,https://www.codecademy.com/review-cards/5cd2f834af246d5c9d472e27,https://www.codecademy.com/paths/analyze-data-with-r/tracks/working-with-data-in-r-skill-path/modules/learn-r-data-frames/lessons/r-data-frames-intro
observations,https://www.codecademy.com/review-cards/5cd2da2daf246d5c484731d1,https://www.codecademy.com/paths/analyze-data-with-r/tracks/working-with-data-in-r-skill-path/modules/learn-r-data-frames/lessons/r-data-frames-intro
package,https://www.codecademy.com/review-cards/5cd2c3ba5f1de864fc14f8bb,https://www.codecademy.com/paths/analyze-data-with-r/tracks/working-with-data-in-r-skill-path/modules/learn-r-data-frames/lessons/r-data-frames-intro
span,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0d92,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
heading,https://www.codecademy.com/review-cards/5b561eb9646caa563fda0d52,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
strong,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0d91,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
paragraph,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0d8f,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
emphasis,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0d90,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
li,https://www.codecademy.com/review-cards/5b561ebb646caa563fda0d8c,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
content,https://www.codecademy.com/review-cards/5b561eb9646caa563fda0d4d,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
tag,https://www.codecademy.com/review-cards/5b561eb9646caa563fda0d4b,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
closing,https://www.codecademy.com/review-cards/5b561eb9646caa563fda0d4e,https://www.codecademy.com/courses/learn-html/lessons/intro-to-html
middleware,https://www.codecademy.com/review-cards/5ed68f37039bbe0012fe8c53,https://www.codecademy.com/courses/asp-net-ii/lessons/introduction-to-asp-net-middleware
configure,https://www.codecademy.com/review-cards/5ed691168cee9700129902ef,https://www.codecademy.com/courses/asp-net-ii/lessons/introduction-to-asp-net-middleware
series,https://www.codecademy.com/review-cards/5ed625e5b3a22400160463ca,https://www.codecademy.com/courses/asp-net-ii/lessons/introduction-to-asp-net-middleware
component,https://www.codecademy.com/review-cards/5e007685485a390013350091,https://www.codecademy.com/courses/front-end-applications-with-react/lessons/your-first-react-component
render,https://www.codecademy.com/review-cards/5e00890f5f6bc70011703832,https://www.codecademy.com/courses/front-end-applications-with-react/lessons/your-first-react-component
react,https://www.codecademy.com/review-cards/5e0013e786f30a0012b79029,https://www.codecademy.com/courses/front-end-applications-with-react/lessons/your-first-react-component
endpoints,https://www.codecademy.com/review-cards/5edd97410f5d6000131190a0,https://www.codecademy.com/courses/asp-net-ii/lessons/built-in-middleware
exception,https://www.codecademy.com/review-cards/5edd8157a895bc00122f67b6,https://www.codecademy.com/courses/asp-net-ii/lessons/built-in-middleware
redirection,https://www.codecademy.com/review-cards/5c6625d41d197247d0a35e98,https://www.codecademy.com/paths/web-development/tracks/learn-the-command-line/modules/learn-the-command-line-redirection/lessons/redirection
